author,content
Marilyn Monroe,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about."
Marilyn Monroe,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about."
Marilyn Monroe,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about."
Marilyn Monroe,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about."
Marilyn Monroe,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about."
J.K. Rowling,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends."
J.K. Rowling,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends."
Albert Einstein,"If you can't explain it to a six year old, you don't understand it yourself."
Albert Einstein,"If you can't explain it to a six year old, you don't understand it yourself."
Douglas Adams,"I may not have gone where I intended to go, but I think I have ended up where I needed to be."
Douglas Adams,"I may not have gone where I intended to go, but I think I have ended up where I needed to be."
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference."
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference."
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference."
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference."
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference."
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference."
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference."
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference."
Friedrich Nietzsche,"It is not a lack of love, but a lack of friendship that makes unhappy marriages."
Friedrich Nietzsche,"It is not a lack of love, but a lack of friendship that makes unhappy marriages."
Friedrich Nietzsche,"It is not a lack of love, but a lack of friendship that makes unhappy marriages."
Friedrich Nietzsche,"It is not a lack of love, but a lack of friendship that makes unhappy marriages."
Friedrich Nietzsche,"It is not a lack of love, but a lack of friendship that makes unhappy marriages."
Friedrich Nietzsche,"It is not a lack of love, but a lack of friendship that makes unhappy marriages."
Mark Twain,"Good friends, good books, and a sleepy conscience: this is the ideal life."
Mark Twain,"Good friends, good books, and a sleepy conscience: this is the ideal life."
Mark Twain,"Good friends, good books, and a sleepy conscience: this is the ideal life."
Mark Twain,"Good friends, good books, and a sleepy conscience: this is the ideal life."
Mark Twain,"Good friends, good books, and a sleepy conscience: this is the ideal life."
Allen Saunders,Life is what happens to us while we are making other plans.
Allen Saunders,Life is what happens to us while we are making other plans.
Allen Saunders,Life is what happens to us while we are making other plans.
Allen Saunders,Life is what happens to us while we are making other plans.
Allen Saunders,Life is what happens to us while we are making other plans.
Pablo Neruda,"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close."
Pablo Neruda,"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close."
Garrison Keillor,Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.
Garrison Keillor,Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.
Dr. Seuss,"Today you are You, that is truer than true. There is no one alive who is Youer than You."
Dr. Seuss,"Today you are You, that is truer than true. There is no one alive who is Youer than You."
Dr. Seuss,"Today you are You, that is truer than true. There is no one alive who is Youer than You."
Albert Einstein,"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales."
Albert Einstein,"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales."
Dr. Seuss,"The more that you read, the more things you will know. The more that you learn, the more places you'll go."
Dr. Seuss,"The more that you read, the more things you will know. The more that you learn, the more places you'll go."
Dr. Seuss,"The more that you read, the more things you will know. The more that you learn, the more places you'll go."
Mother Teresa,Not all of us can do great things. But we can do small things with great love.
Mother Teresa,Not all of us can do great things. But we can do small things with great love.
J.K. Rowling,"To the well-organized mind, death is but the next great adventure."
J.K. Rowling,"To the well-organized mind, death is but the next great adventure."
Charles M. Schulz,All you need is love. But a little chocolate now and then doesn't hurt.
Charles M. Schulz,All you need is love. But a little chocolate now and then doesn't hurt.
Charles M. Schulz,All you need is love. But a little chocolate now and then doesn't hurt.
William Nicholson,We read to know we're not alone.
William Nicholson,We read to know we're not alone.
Albert Einstein,Any fool can know. The point is to understand.
Albert Einstein,Any fool can know. The point is to understand.
Albert Einstein,Any fool can know. The point is to understand.
Albert Einstein,Any fool can know. The point is to understand.
Jorge Luis Borges,I have always imagined that Paradise will be a kind of library.
Jorge Luis Borges,I have always imagined that Paradise will be a kind of library.
George R.R. Martin,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one."
George R.R. Martin,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one."
George R.R. Martin,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one."
George R.R. Martin,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one."
C.S. Lewis,You can never get a cup of tea large enough or a book long enough to suit me.
C.S. Lewis,You can never get a cup of tea large enough or a book long enough to suit me.
C.S. Lewis,You can never get a cup of tea large enough or a book long enough to suit me.
C.S. Lewis,You can never get a cup of tea large enough or a book long enough to suit me.
Marilyn Monroe,"If you can make a woman laugh, you can make her do anything."
Marilyn Monroe,"If you can make a woman laugh, you can make her do anything."
Albert Einstein,"Life is like riding a bicycle. To keep your balance, you must keep moving."
Albert Einstein,"Life is like riding a bicycle. To keep your balance, you must keep moving."
Martin Luther King Jr.,Only in the darkness can you see the stars.
Martin Luther King Jr.,Only in the darkness can you see the stars.
Jane Austen,"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature."
Jane Austen,"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature."
Eleanor Roosevelt,Do one thing every day that scares you.
Eleanor Roosevelt,Do one thing every day that scares you.
Eleanor Roosevelt,Do one thing every day that scares you.
Haruki Murakami,"If you only read the books that everyone else is reading, you can only think what everyone else is thinking."
Haruki Murakami,"If you only read the books that everyone else is reading, you can only think what everyone else is thinking."
Stephenie Meyer,"He's like a drug for you, Bella."
Stephenie Meyer,"He's like a drug for you, Bella."
Stephenie Meyer,"He's like a drug for you, Bella."
Ernest Hemingway,There is no friend as loyal as a book.
Ernest Hemingway,There is no friend as loyal as a book.
Ernest Hemingway,There is no friend as loyal as a book.
George Bernard Shaw,Life isn't about finding yourself. Life is about creating yourself.
George Bernard Shaw,Life isn't about finding yourself. Life is about creating yourself.
George Bernard Shaw,Life isn't about finding yourself. Life is about creating yourself.
J.R.R. Tolkien,Not all those who wander are lost.
J.R.R. Tolkien,Not all those who wander are lost.
J.R.R. Tolkien,Not all those who wander are lost.
J.R.R. Tolkien,Not all those who wander are lost.
J.R.R. Tolkien,Not all those who wander are lost.
J.R.R. Tolkien,Not all those who wander are lost.
Ernest Hemingway,There is nothing to writing. All you do is sit down at a typewriter and bleed.
Ernest Hemingway,There is nothing to writing. All you do is sit down at a typewriter and bleed.
Ralph Waldo Emerson,Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.
Ralph Waldo Emerson,Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.
Alfred Tennyson,If I had a flower for every time I thought of you...I could walk through my garden forever.
Alfred Tennyson,If I had a flower for every time I thought of you...I could walk through my garden forever.
Terry Pratchett,"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it."
Terry Pratchett,"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it."
Terry Pratchett,"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it."
Dr. Seuss,"Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!"
Dr. Seuss,"Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!"
J.D. Salinger,"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though."
J.D. Salinger,"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though."
J.D. Salinger,"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though."
J.D. Salinger,"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though."
J.D. Salinger,"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though."
George Carlin,The reason I talk to myself is because I’m the only one whose answers I accept.
George Carlin,The reason I talk to myself is because I’m the only one whose answers I accept.
George Carlin,The reason I talk to myself is because I’m the only one whose answers I accept.
George Carlin,The reason I talk to myself is because I’m the only one whose answers I accept.
George Carlin,The reason I talk to myself is because I’m the only one whose answers I accept.
George Carlin,The reason I talk to myself is because I’m the only one whose answers I accept.
John Lennon,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one."
John Lennon,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one."
John Lennon,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one."
John Lennon,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one."
John Lennon,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one."
John Lennon,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one."
John Lennon,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one."
John Lennon,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one."
W.C. Fields,I am free of all prejudice. I hate everyone equally. 
W.C. Fields,I am free of all prejudice. I hate everyone equally. 
Mark Twain,′Classic′ - a book which people praise and don't read.
Mark Twain,′Classic′ - a book which people praise and don't read.
Mark Twain,′Classic′ - a book which people praise and don't read.
Jane Austen,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment."
Jane Austen,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment."
Jane Austen,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment."
Jane Austen,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment."
Jane Austen,"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library."
Jane Austen,"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library."
Jane Austen,"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library."
Jane Austen,"There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense."
Jane Austen,"There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense."
C.S. Lewis,Some day you will be old enough to start reading fairy tales again.
C.S. Lewis,Some day you will be old enough to start reading fairy tales again.
C.S. Lewis,Some day you will be old enough to start reading fairy tales again.
Mark Twain,The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.
Mark Twain,The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.
Mark Twain,A lie can travel half way around the world while the truth is putting on its shoes.
Mark Twain,A lie can travel half way around the world while the truth is putting on its shoes.
C.S. Lewis,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else."
C.S. Lewis,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else."
C.S. Lewis,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else."
C.S. Lewis,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else."
Jimi Hendrix,"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to."
Jimi Hendrix,"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to."
J.M. Barrie,To die will be an awfully big adventure.
J.M. Barrie,To die will be an awfully big adventure.
Madeleine L'Engle,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children."
Madeleine L'Engle,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children."
Madeleine L'Engle,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children."
Madeleine L'Engle,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children."
Madeleine L'Engle,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children."
Madeleine L'Engle,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children."
Madeleine L'Engle,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children."
George R.R. Martin,"... a mind needs books as a sword needs a whetstone, if it is to keep its edge."
George R.R. Martin,"... a mind needs books as a sword needs a whetstone, if it is to keep its edge."
